"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Document Type","Publication Stage","Open Access","Source","EID"
"Lackner C.; Heinzl P.; Leo C.; Klug C.","Lackner, Christian (58578059800); Heinzl, Philipp (58707367900); Leo, Christoph (57211856993); Klug, Corina (56078115600)","58578059800; 58707367900; 57211856993; 56078115600","Investigations on tram-pedestrian impacts by application of virtual testing with human body models","2023","European Transport Research Review","15","1","22","","","","0","10.1186/s12544-023-00595-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166226173&doi=10.1186%2fs12544-023-00595-0&partnerID=40&md5=a26a36f74e6b5990357b8b6139ed87d6","Background: In Austria around 100 trams are involved in accidents with pedestrians every year. Since the service lives of trams are very high, the probabilities are also high that each tram on the network will be involved in an accident of this kind at least once, highlighting the need of protective designs of tram fronts. However, due to lack of studies in this area, this is still a challenging task. Purpose: The aim of this study is to show the applicability and the usability of virtual testing involving HBMs in tram front design studies to improve passive safety in general. Methodology: In this study, the impact of pedestrians with a tram was investigated using a generic tram front model in a basic version and a conceptually improved version, respectively, and detailed finite element human body models (HBM). To consider gender-differences and to avoid designs that unintentionally favour only particular groups of the population, the study simulations were carried out with a male and a female 50th percentile finite element human body model (VIVA+). The risk for head, chest, femur and tibia injuries were analysed as the simulation result, since these body areas were identified based on field data to be most relevant in accidents involving pedestrians and trams. Collision scenarios are evaluated for a wide parameter variation in impact location and speed, respectively. Findings: The results show a reduction in head injury risk for both the female and the male HBM at different speeds and impact locations for impact with the enhanced version of the tram front. Depending on the gender of the HBM, the considered improvement shows different effects for each body region, with a greater reduction in the likelihood of head injury for the female model, and a greater reduction in the likelihood of thoracic injury for the male model. These differences are due to the considered anthropomorphic variations. A reduction for the risk of femur injuries can be achieved in all cases using the modified tram front. The study showcases the application of detailed human body models for tram pedestrian impact analyses in the context of pedestrian safety and in particular for tram front improvements. It was shown that even a minor modification of the tram front with softer front skirt attachments leads to remarkable benefits with respect to injury criteria in all investigated crash scenarios. The presented research goes beyond current technical recommendations and shows the benefit of virtual testing including HBMs and considering a wide variety of impact speeds, anthropometries and injury assessments, respectively. © 2023, The Author(s).","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85166226173"
"Rahman M.A.; Brown D.J.; Mahmud M.; Harris M.; Shopland N.; Heym N.; Sumich A.; Turabee Z.B.; Standen B.; Downes D.; Xing Y.; Thomas C.; Haddick S.; Premkumar P.; Nastase S.; Burton A.; Lewis J.","Rahman, Muhammad Arifur (55889568700); Brown, David J. (55553726573); Mahmud, Mufti (35173453700); Harris, Matthew (57783359400); Shopland, Nicholas (15133318200); Heym, Nadja (24758998700); Sumich, Alexander (55981515100); Turabee, Zakia Batool (57203204935); Standen, Bradley (57216452434); Downes, David (11540359400); Xing, Yangang (25423369600); Thomas, Carolyn (57865933100); Haddick, Sean (57782871600); Premkumar, Preethi (23390127900); Nastase, Simona (57866952600); Burton, Andrew (56346819500); Lewis, James (57203624882)","55889568700; 55553726573; 35173453700; 57783359400; 15133318200; 24758998700; 55981515100; 57203204935; 57216452434; 11540359400; 25423369600; 57865933100; 57782871600; 23390127900; 57866952600; 56346819500; 57203624882","Enhancing biofeedback-driven self-guided virtual reality exposure therapy through arousal detection from multimodal data using machine learning","2023","Brain Informatics","10","1","14","","","","1","10.1186/s40708-023-00193-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163190450&doi=10.1186%2fs40708-023-00193-9&partnerID=40&md5=456d2c6e020e401a96565907c04e0879","Virtual reality exposure therapy (VRET) is a novel intervention technique that allows individuals to experience anxiety-evoking stimuli in a safe environment, recognise specific triggers and gradually increase their exposure to perceived threats. Public-speaking anxiety (PSA) is a prevalent form of social anxiety, characterised by stressful arousal and anxiety generated when presenting to an audience. In self-guided VRET, participants can gradually increase their tolerance to exposure and reduce anxiety-induced arousal and PSA over time. However, creating such a VR environment and determining physiological indices of anxiety-induced arousal or distress is an open challenge. Environment modelling, character creation and animation, psychological state determination and the use of machine learning (ML) models for anxiety or stress detection are equally important, and multi-disciplinary expertise is required. In this work, we have explored a series of ML models with publicly available data sets (using electroencephalogram and heart rate variability) to predict arousal states. If we can detect anxiety-induced arousal, we can trigger calming activities to allow individuals to cope with and overcome distress. Here, we discuss the means of effective selection of ML models and parameters in arousal detection. We propose a pipeline to overcome the model selection problem with different parameter settings in the context of virtual reality exposure therapy. This pipeline can be extended to other domains of interest where arousal detection is crucial. Finally, we have implemented a biofeedback framework for VRET where we successfully provided feedback as a form of heart rate and brain laterality index from our acquired multimodal data for psychological intervention to overcome anxiety. © 2023, The Author(s).","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85163190450"
"de Crignis A.C.; Ruhnau S.-T.; Hösl M.; Lefint J.; Amberger T.; Dressnandt J.; Brunner H.; Müller F.","de Crignis, Alexandra Charlotte (57673249500); Ruhnau, Salome-Thamar (58533181300); Hösl, Matthias (26664680500); Lefint, Jérémy (57195486849); Amberger, Tamara (57202776633); Dressnandt, Jürgen (55304132600); Brunner, Hans (58533335200); Müller, Friedemann (15828132600)","57673249500; 58533181300; 26664680500; 57195486849; 57202776633; 55304132600; 58533335200; 15828132600","Robotic arm training in neurorehabilitation enhanced by augmented reality – a usability and feasibility study","2023","Journal of NeuroEngineering and Rehabilitation","20","1","105","","","","0","10.1186/s12984-023-01225-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167756866&doi=10.1186%2fs12984-023-01225-5&partnerID=40&md5=98f15c54fe4deec4fd088ca1f3aad662","Background: Robotic therapy and serious gaming support motor learning in neurorehabilitation. Traditional monitor-based gaming outputs cannot adequately represent the third dimension, whereas virtual reality headsets lack the connection to the real world. The use of Augmented Reality (AR) techniques could potentially overcome these issues. The objective of this study was thus to evaluate the usability, feasibility and functionality of a novel arm rehabilitation device for neurorehabilitation (RobExReha system) based on a robotic arm (LBR iiwa, KUKA AG) and serious gaming using the AR headset HoloLens (Microsoft Inc.). Methods: The RobExReha system was tested with eleven adult inpatients (mean age: 64.4 ± 11.2 years; diagnoses: 8 stroke, 2 spinal cord injury, 1 Guillain-Barré-Syndrome) who had paretic impairments in their upper limb. Five therapists administered and evaluated the system. Data was compared with a Reference Group (eleven inpatients; mean age: 64.3 ± 9.1 years; diagnoses: 10 stroke, 1 spinal cord injury) who trained with commercially available robotic therapy devices (ArmeoPower or ArmeoSpring, Hocoma AG). Patients used standardized questionnaires for evaluating usability and comfort (Quebec User Evaluation of Satisfaction with assistive technology [QUEST]), workload (Raw Task Load Index [RTLX]) and a questionnaire for rating visual perception of the gaming scenario. Therapists used the QUEST, the System Usability Scale and the short version of the User Experience Questionnaire. Results: Therapy with the RobExReha system was safe and feasible for patients and therapists, with no serious adverse events being reported. Patients and therapists were generally satisfied with usability. The patients’ usability ratings were significantly higher in the Reference Group for two items of the QUEST: reliability and ease of use. Workload (RTLX) ratings did not differ significantly between the groups. Nearly all patients using the RobExReha system perceived the gaming scenario in AR as functioning adequately despite eight patients having impairments in stereoscopic vision. The therapists valued the system’s approach as interesting and inventive. Conclusions: We demonstrated the clinical feasibility of combining a novel robotic upper limb robot with an AR-serious game in a neurorehabilitation setting. To ensure high usability in future applications, a reliable and easy-to-use system that can be used for task-oriented training should be implemented. Trial registration: Ethical approval was obtained and the trial was registered at the German Clinical Trials Register (DRKS00022136). © 2023, BioMed Central Ltd., part of Springer Nature.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85167756866"
"Loued-Khenissi L.; Pfeiffer C.; Saxena R.; Adarsh S.; Scaramuzza D.","Loued-Khenissi, Leyla (56829581400); Pfeiffer, Christian (36060006300); Saxena, Rupal (58283996400); Adarsh, Shivam (58284154200); Scaramuzza, Davide (16550950000)","56829581400; 36060006300; 58283996400; 58284154200; 16550950000","Microgravity induces overconfidence in perceptual decision-making","2023","Scientific Reports","13","1","9727","","","","1","10.1038/s41598-023-36775-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161990529&doi=10.1038%2fs41598-023-36775-0&partnerID=40&md5=49847a74f0a228f21050ff40ff6286bd","Does gravity affect decision-making? This question comes into sharp focus as plans for interplanetary human space missions solidify. In the framework of Bayesian brain theories, gravity encapsulates a strong prior, anchoring agents to a reference frame via the vestibular system, informing their decisions and possibly their integration of uncertainty. What happens when such a strong prior is altered? We address this question using a self-motion estimation task in a space analog environment under conditions of altered gravity. Two participants were cast as remote drone operators orbiting Mars in a virtual reality environment on board a parabolic flight, where both hyper- and microgravity conditions were induced. From a first-person perspective, participants viewed a drone exiting a cave and had to first predict a collision and then provide a confidence estimate of their response. We evoked uncertainty in the task by manipulating the motion’s trajectory angle. Post-decision subjective confidence reports were negatively predicted by stimulus uncertainty, as expected. Uncertainty alone did not impact overt behavioral responses (performance, choice) differentially across gravity conditions. However microgravity predicted higher subjective confidence, especially in interaction with stimulus uncertainty. These results suggest that variables relating to uncertainty affect decision-making distinctly in microgravity, highlighting the possible need for automatized, compensatory mechanisms when considering human factors in space research. © 2023, The Author(s).","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85161990529"
"Vorwerg-Gall S.; Stamm O.; Haink M.","Vorwerg-Gall, Susan (58552841500); Stamm, Oskar (57210147176); Haink, Michele (57329664800)","58552841500; 57210147176; 57329664800","Virtual reality exergame in older patients with hypertension: a preliminary study to determine load intensity and blood pressure","2023","BMC Geriatrics","23","1","527","","","","0","10.1186/s12877-023-04245-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168974874&doi=10.1186%2fs12877-023-04245-x&partnerID=40&md5=084c0ac5bc3d39bdb8e891655aa154cd","Background: Lifestyle changes and physical activity can make an important contribution to reducing the risk factor for high blood pressure (BP). Whether virtual reality (VR) exergames are also appropriate and make a positive contribution to the reduction of BP has not yet been sufficiently investigated. Therefore, the aim of the study was to gain knowledge of the load intensities to be achieved during a VR exergame and to examine the short-term effects on BP. Methods: For the preliminary study, 22 participants with hypertension over the age of 65 years were analyzed. The study took place in a mobile laboratory truck. All participants visited on two occasions. During visit 1, VR strength endurance training (VR-SET) and during visit 2, VR endurance training (VR-ET) was performed. Each VR session lasted approximately 25 min and was of a moderate intensity. Heart rate (HR) was measured across the entire session, as well as BP before and after the VR exergame. The Rating of Perceived Exertion (RPE) and task load using NASA Task Load Index were determined after each VR session. Included in the statistical analysis were the Shapiro–Wilk test, the paired t-test, the Wilcoxon test and ANOVA for repeated measures. Results: During the “main part” (p <.001), at the “end” (p =.002) and for the “maximum HR” (p <.001), significant load differences between both VR sessions could be determined. In addition, significantly more participants in the VR-SET group achieved a moderate load intensity of at least 40% of heart rate reserve (p =.014). Regarding RPE, participants rated their subjectively perceived exertion significantly higher in the VR-SET than in the VR-ET (p =.028). Systolic BP decreased significantly in both VR sessions when compared before VR session and 5 min after VR session (p =.015; p =.003), as well as before VR session and 10 min after VR session (p =.018; p <.001). Conclusions: An individual moderate load intensity of 40% can be reached during VR-SET. In addition, a positive short-term effect of the VR exergame on BP behavior (postexercise hypotension) was observed after both VR sessions. The preliminary results indicate that a VR exergaming could lead to blood pressure lowering effects for older people with hypertension. Trial registration: The study was registered in the German Clinical Trials Register (DRKS-ID: DRKS00022881, 07/09/2020, https://drks.de/search/de/trial/DRKS00022881). © 2023, BioMed Central Ltd., part of Springer Nature.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85168974874"
"Richter S.; Richter A.","Richter, Shahper (57200540103); Richter, Alexander (35556968300)","57200540103; 35556968300","What is novel about the Metaverse?","2023","International Journal of Information Management","73","","102684","","","","4","10.1016/j.ijinfomgt.2023.102684","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165232274&doi=10.1016%2fj.ijinfomgt.2023.102684&partnerID=40&md5=2d9052b92bc1d2277b12732279423524","The Metaverse is not a radical departure. It is an incremental evolution. Previous virtual worlds, like Second Life, have laid the groundwork for the development of the Metaverse by providing valuable insights into virtual environments and social interactions. Studies of these earlier platforms contribute to a more nuanced understanding of what the Metaverse is, and what it is not. Based on studies of virtual worlds and by applying inductive processes of reflection and abstraction, we propose a framework that supports the identification of attributes that help differentiate the Metaverse from previous virtual worlds from a user experience perspective. We demonstrate the value of the framework by comparing the Metaverse to Second Life. Our framework and comparative analysis ground the current discussions about the Metaverse deeper in the established discourse on virtual worlds. They also shed light on the potential impact of the Metaverse, the special role of its immersiveness and help us to identify lessons learned that can inform the Metaverse's further development. © 2023 The Authors","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85165232274"
"Kengen B.; van Goor H.; Luursema J.-M.","Kengen, Bas (55549965000); van Goor, Harry (58077267300); Luursema, Jan-Maarten (8317660900)","55549965000; 58077267300; 8317660900","Laparoscopic simulator performance and learning curves under different optical angles","2023","BMC Medical Education","23","1","613","","","","0","10.1186/s12909-023-04555-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168986790&doi=10.1186%2fs12909-023-04555-z&partnerID=40&md5=3672ba77b93d1ffabea32a5a73e38798","Background: Deviated optical angles create visuospatial and psychomotor challenges during laparoscopic procedures, resulting in delayed operative time and possibly adverse events. If it is possible to train the skills needed to work under these deviated optical angles, this could benefit procedure time and patient safety. This study investigates the influence of the optical angle on development of basic laparoscopic surgical skills. Methods: A total of 58 medical students performed a four-session laparoscopic training course on a Virtual Reality Simulator. During each session, they performed an identical task under optical angles of 0°, 45° and − 45°. Performance parameters of task duration and damage were compared between the optical angles to investigate the effect of optical angle on performance development. The 4th session performance was compared to the 2nd session performance for each angle to determine improvement. Results: Participants performed the task significantly faster under the 0° optical angle compared to the plus and minus 45° optical angles during the last three sessions (z between − 2.95 and − 2.09, p <.05). Participants improved significantly and similarly for task duration during the training course under all optical angles. At the end of the training course however significant performance differences between the zero and plus/minus 45 optical angles remained. Performance for damage did not improve and was not affected by optical angle throughout the course. Conclusion: Dedicated virtual reality training improves laparoscopic basic skills performance under deviated optical angles as it leads to shorter task duration, however a lasting performance impairment compared to the 0° optical angle remained. Training for performing under deviating optical angles can potentially shorter the learning curve in the operating room. © 2023, BioMed Central Ltd., part of Springer Nature.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85168986790"
"Kumarapuram S.; Sreenivasan S.; Mathivanan A.; Manchiraju P.; Khuroo M.; Sundararajan S.; Nanda A.; Roychowdhury S.; Gupta G.","Kumarapuram, Siddhant (57727130700); Sreenivasan, Sanjeev (57203723316); Mathivanan, Akanksha (58498526400); Manchiraju, Pranav (58497556600); Khuroo, Mohammad (58427996600); Sundararajan, Srihari (58584653000); Nanda, Anil (7101812890); Roychowdhury, Sudipta (7005297372); Gupta, Gaurav (36246015000)","57727130700; 57203723316; 58498526400; 58497556600; 58427996600; 58584653000; 7101812890; 7005297372; 36246015000","Network analysis of neurosurgical literature: an increased focus on training during the COVID-19 pandemic","2023","Neurosurgical Review","46","1","178","","","","0","10.1007/s10143-023-02069-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165404990&doi=10.1007%2fs10143-023-02069-2&partnerID=40&md5=890b64c82ad8b7388833d9656d6c9060","The COVID-19 pandemic led to stringent guidelines to restrict the conduct of non-emergent surgical procedures. Consequently, neurosurgery departments experienced a decline in case volumes and greater educational time being spent on virtual research projects. In our report, we reveal how neurosurgical research has changed during the pandemic compared to the pre-pandemic phase. The WebOfScience database was searched for neurosurgical articles published between 2012–2019 (pre-pandemic) and 2020–2022 (pandemic). From this data, the keywords, terms, and countries were analyzed using networks formed by the VOS Viewer software. In addition, the analysis was repeated for neurosurgical articles specific to COVID-19. Network analyses of terms and keywords revealed an increased popularity of virtual research projects, including case reports, meta-analyses, reviews, surveys, and database studies. Additionally, there was increased interest in research pertaining to neurosurgical education during the post-pandemic era, including topics regarding virtual training modalities, mental health, and telemedicine. Our bibliometrics analysis suggests that the impact of COVID-19 restrictions on hospital systems affected neurosurgical training programs. Future investigations should explore the effects of the trainee experience during the COVID-19 pandemic on the outlook for neurosurgical education. © 2023, The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature.","Review","Final","","Scopus","2-s2.0-85165404990"
"Zhang Z.; Zhang Z.; Wang L.; Zhu X.; Huang H.; Cao Q.","Zhang, Zhuangzhuang (57214755255); Zhang, Zhinan (55853933400); Wang, Lihui (55080150600); Zhu, Xiaoxiao (57205478798); Huang, Huang (57214059135); Cao, Qixin (7202487579)","57214755255; 55853933400; 55080150600; 57205478798; 57214059135; 7202487579","Digital twin-enabled grasp outcomes assessment for unknown objects using visual-tactile fusion perception","2023","Robotics and Computer-Integrated Manufacturing","84","","102601","","","","2","10.1016/j.rcim.2023.102601","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161718394&doi=10.1016%2fj.rcim.2023.102601&partnerID=40&md5=eee2579ca15af81c9c9b3f670a31db10","Humans can instinctively predict whether a given grasp will be successful through visual and rich haptic feedback. Towards the next generation of smart robotic manufacturing, robots must be equipped with similar capabilities to cope with grasping unknown objects in unstructured environments. However, most existing data-driven methods take global visual images and tactile readings from the real-world system as input, making them incapable of predicting the grasp outcomes for cluttered objects or generating large-scale datasets. First, this paper proposes a visual-tactile fusion method to predict the results of grasping cluttered objects, which is the most common scenario for grasping applications. Concretely, the multimodal fusion network (MMFN) uses the local point cloud within the gripper as the visual signal input, while the tactile signal input is the images provided by two high-resolution tactile sensors. Second, collecting data in the real world is high-cost and time-consuming. Therefore, this paper proposes a digital twin-enabled robotic grasping system to collect large-scale multimodal datasets and investigates how to apply domain randomization and domain adaptation to bridge the sim-to-real transfer gap. Finally, extensive validation experiments are conducted in physical and virtual environments. The experimental results demonstrate the effectiveness of the proposed method in assessing grasp stability for cluttered objects and performing zero-shot sim-to-real policy transfer on the real robot with the aid of the proposed migration strategy. © 2023","Article","Final","","Scopus","2-s2.0-85161718394"
"Lu L.; Li M.","Lu, Lu (58205080400); Li, Mengting (58546180200)","58205080400; 58546180200","Development of a virtual interactive system for Dahua Lou loom based on knowledge ontology-driven technology","2023","Heritage Science","11","1","178","","","","0","10.1186/s40494-023-01027-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168619779&doi=10.1186%2fs40494-023-01027-x&partnerID=40&md5=4b3e8f6bc75abf3ae49c503e334bf94c","The Dahua Lou loom, pivotal to Nanjing Yunjin weaving, constitutes an integral part of global intangible cultural heritage. Its intricate weaving technique remains unmatched by modern machinery, marking it as a vital cultural artefact warranting protection. However, current virtual interactive systems grapple with adequately demonstrating its craftsmanship due to limitations like system iteration, multi-system integration, and data interoperability. To address these challenges, this study proposes a method that synergizes knowledge ontology, virtual reality technology, and data-driven design.Knowledge ontology enables enhanced management, reuse, and wide-ranging dissemination of domain knowledge, improving system interoperability. This methodology is utilized in constructing the loom model, animation demonstration, and in integrating it into the virtual interactive system. This multifaceted application of knowledge ontology significantly bolsters the system’s efficiency and optimizes its development, maintenance, and integration processes.This research provides crucial advancements in domain knowledge modeling, 3D visualization, and virtual reality interactive systems, playing a significant role in preserving cultural heritage. Despite certain limitations, it offers an immersive, intuitive, and enriched design experience. The study concludes with a critique of the developed system, discussions on the encountered challenges, and future research directions include improving and expanding the knowledge ontology based on the opinions and practical experiences of domain experts, enhancing system compatibility, and conducting broader evaluations. © 2023, Springer Nature Switzerland AG.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85168619779"
"Yang A.H.X.; Kasabov N.K.; Cakmak Y.O.","Yang, Alexander Hui Xiang (57312675300); Kasabov, Nikola Kirilov (57833590600); Cakmak, Yusuf Ozgur (11739250100)","57312675300; 57833590600; 11739250100","Prediction and detection of virtual reality induced cybersickness: a spiking neural network approach using spatiotemporal EEG brain data and heart rate variability","2023","Brain Informatics","10","1","15","","","","0","10.1186/s40708-023-00192-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165221319&doi=10.1186%2fs40708-023-00192-w&partnerID=40&md5=b0a76ef2b9234fd91aa575083c468cd4","Virtual Reality (VR) allows users to interact with 3D immersive environments and has the potential to be a key technology across many domain applications, including access to a future metaverse. Yet, consumer adoption of VR technology is limited by cybersickness (CS)—a debilitating sensation accompanied by a cluster of symptoms, including nausea, oculomotor issues and dizziness. A leading problem is the lack of automated objective tools to predict or detect CS in individuals, which can then be used for resistance training, timely warning systems or clinical intervention. This paper explores the spatiotemporal brain dynamics and heart rate variability involved in cybersickness and uses this information to both predict and detect CS episodes. The present study applies deep learning of EEG in a spiking neural network (SNN) architecture to predict CS prior to using VR (85.9%, F7) and detect it (76.6%, FP1, Cz). ECG-derived sympathetic heart rate variability (HRV) parameters can be used for both prediction (74.2%) and detection (72.6%) but at a lower accuracy than EEG. Multimodal data fusion of EEG and sympathetic HRV does not change this accuracy compared to ECG alone. The study found that Cz (premotor and supplementary motor cortex) and O2 (primary visual cortex) are key hubs in functionally connected networks associated with both CS events and susceptibility to CS. F7 is also suggested as a key area involved in integrating information and implementing responses to incongruent environments that induce cybersickness. Consequently, Cz, O2 and F7 are presented here as promising targets for intervention. © 2023, The Author(s).","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85165221319"
"Rizzato A.; Pizzichemi M.; Gobbi E.; Gerardi A.; Fortin C.; Copcia A.; Paoli A.; Marcolin G.","Rizzato, Alex (57193875757); Pizzichemi, Martina (57226137559); Gobbi, Erica (37057299900); Gerardi, Adriana (58475461400); Fortin, Claudia (58476864600); Copcia, Ancuta (58475223500); Paoli, Antonio (24081140700); Marcolin, Giuseppe (30967601000)","57193875757; 57226137559; 37057299900; 58475461400; 58476864600; 58475223500; 24081140700; 30967601000","Effectiveness and therapeutic compliance of digital therapy in shoulder rehabilitation: a randomized controlled trial","2023","Journal of NeuroEngineering and Rehabilitation","20","1","87","","","","0","10.1186/s12984-023-01188-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164145148&doi=10.1186%2fs12984-023-01188-7&partnerID=40&md5=85e2b2bbddde25cb00e93d8a554e3ee0","Background: Interactive videogames, virtual reality, and robotics represent a new opportunity for multimodal treatments in many rehabilitation contexts. However, several commercial videogames are designed for leisure and are not oriented toward definite rehabilitation goals. Among the many, Playball® (Playwork, Alon 10, Ness Ziona, Israel) is a therapeutic ball that measures both movement and pressure applied on it while performing rehabilitation games. This study aimed: (i) to evaluate whether the use of this novel digital therapy gaming system was clinically effective during shoulder rehabilitation; (ii) to understand whether this gaming rehabilitation program was effective in improving patients’ engagement (perceived enjoyment and self-efficacy during therapy; attitude and intention to train at home) in comparison to a control non-gaming rehabilitation program. Methods: A randomized controlled experimental design was outlined. Twenty-two adults with shoulder pathologies were recruited for a rehabilitation program of ten consecutive sessions. A control (CTRL; N = 11; age: 62.0 ± 10.9 yrs) and an intervention group (PG; N = 11; age: 59.9 ± 10.2 yrs) followed a non-digital and a digital therapy, respectively. The day before (T0) and after (T1) the rehabilitation program, pain, strength, and mobility assessments were performed, together with six questionnaires: PENN shoulder Score, PACES-short, Self-efficacy, Attitudes to train at home, Intention to train at home, and System usability scale (SUS). Results: MANOVA analysis showed significant improvements in pain (p < 0.01), strength (p < 0.05), and PENN Shoulder Score (p < 0.001) in both groups. Similarly, patients’ engagement improved, with significant increments in Self-efficacy (p < 0.05) and attitude (p < 0.05) scores in both groups after the rehabilitation. Pearson correlation showed significant correlations of the Δ scores (T1 - T0) between PACES and Self-efficacy (r = 0.623; p = 0.041) and between PACES and Intention to train at home (r = 0.674; p = 0.023) only in the PG. SUS score after the rehabilitation (74.54 ± 15.60) overcame the cut-off value of 68, representative of good usability of a device. Conclusions: The investigated digital therapy resulted as effective as an equivalent non-digital therapy in shoulder rehabilitation. The reported positive relationship between the subject’s enjoyment during digital therapy and intention to train at home suggests promising results in possible patient’s exercise engagement at home after the rehabilitation in the medical center. Retrospectively registered: NCT 05230056. © 2023, The Author(s).","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85164145148"
"Li H.; Assis K.D.R.; Bravalheri A.; Almeida R.C., Jr; Vasilakos X.; Yan S.; Nejabati R.; Simeonidou D.","Li, H. (57826577300); Assis, K.D.R. (6507364562); Bravalheri, A. (55203531800); Almeida, R.C. (57226691692); Vasilakos, X. (23092076600); Yan, S. (56926913200); Nejabati, R. (8723651100); Simeonidou, D. (12784155200)","57826577300; 6507364562; 55203531800; 57226691692; 23092076600; 56926913200; 8723651100; 12784155200","Deployment of VNF service chains with grooming and resilience in elastic optical networks","2023","Optical Fiber Technology","81","","103482","","","","0","10.1016/j.yofte.2023.103482","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169297338&doi=10.1016%2fj.yofte.2023.103482&partnerID=40&md5=1d305459987f8b525f4e72b778827f1b","Network function virtualization (NFV) uses virtual network functions (VNFs) and VNF service chains (VNF-SCs) as a flexible and cost-efficient way of providing network services. This new backbone plays a vital role in dealing with the outbreak of traffic patterns generated by diverse services. Elastic optical networks (EONs) can be used for maximum flexibility to interconnect the computing infrastructure and data centers (DCs) required to host these VNFs and effectively transport the heterogeneous traffic flowing through the VNF-SC. The aim of the paper is to provide a complete mixed integer linear programming (MILP) formulation for the problem of VNF-SC deployment with survivability to minimize the total number of functions, balance the load utilization through grooming, and avoid spectrum fragmentation in EONs. In addition, we propose an efficient heuristic solution in dealing with the problem of large networks. The performance of the proposed strategies is evaluated based on the availability of resources (function computing capability). Simulation results show that the proposed MILP and heuristic can reduce the total amount of allocated VNFs, thereby, allowing for a certain level of resilience. © 2023 Elsevier Inc.","Article","Final","","Scopus","2-s2.0-85169297338"
"Chang W.K.; Lim H.; Park S.H.; Lim C.; Paik N.-J.; Kim W.-S.; Ku J.","Chang, Won Kee (57417658100); Lim, Hyunmi (57201758403); Park, Seo Hyun (57202805266); Lim, Chaiyoung (58026612000); Paik, Nam-Jong (7004003394); Kim, Won-Seok (58515290000); Ku, Jeonghun (7102897693)","57417658100; 57201758403; 57202805266; 58026612000; 7004003394; 58515290000; 7102897693","Effect of immersive virtual mirror visual feedback on Mu suppression and coherence in motor and parietal cortex in stroke","2023","Scientific Reports","13","1","12514","","","","0","10.1038/s41598-023-38749-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166433388&doi=10.1038%2fs41598-023-38749-8&partnerID=40&md5=f6d5bdb49e2fceebe1186ac437963a62","We investigated the activation pattern of the motor cortex (M1) and parietal cortex during immersive virtual reality (VR)-based mirror visual feedback (MVF) of the upper limb in 14 patients with chronic stroke and severe upper limb hemiparesis and in 21 healthy controls. Participants performed wrist extension with unaffected wrists (dominant side in controls). In the MVF condition, movement of the affected hand was synchronized with that of the unaffected hand. In the no-MVF condition, only the movement of unaffected hand was shown. Mu suppression in bilateral M1 and parietal cortex and mu coherence were analyzed. In patients with stroke, MVF induced significant mu suppression in both the ipsilesional M1 and parietal lobes (p = 0.006 and p = 0.009, respectively), while mu suppression was observed in the bilateral M1 (p = 0.003 for ipsilesional and p = 0.041 for contralesional M1, respectively) and contralesional parietal lobes in the controls (p = 0.036). The ipsilesional mu coherence between the M1 and parietal cortex in patients with stroke was stronger than controls, regardless of MVF condition (p < 0.001), while mu coherence between interhemispheric M1 cortices was significantly weaker in patients with stroke (p = 0.032). Our findings provide evidence of the neural mechanism of MVF using immersive VR in patients with stroke. © 2023, The Author(s).","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85166433388"
